marketid,MD,TH,SB
1,0.2447519028965209,0.01264492844360211,0.028269309736663015
2,0.06417447756972311,0.15391123044227636,0.11616766896762633
3,0.013373091048829042,0.26067258264508364,0.06258173607650408
4,0.23849495152188094,0.31098320644316757,0.015819329253329115
5,0.20476921013409746,0.10572305926861439,0.03866989425592082
6,0.11319119808805875,0.01707288002385158,0.1632406089280371
7,0.19899399593413797,0.05308948442273872,0.1317995805053576
8,0.050276913177745144,0.10957230308144408,0.132577213132029
9,0.03927269026054156,0.06467478787828339,0.134783286578527
10,0.003293559742344222,0.2535866172333694,0.1858028199934219
11,0.003527138815821224,0.015034389243554531,0.08215251617583672
12,0.0658197688514484,0.021019915760003238,0.13946307436666555
13,0.11101499959591489,0.01757720924116416,0.152335157400461
14,0.15806310026989767,0.028835199011893672,0.013539218887277906
15,0.047067027469928975,0.15836432337012363,0.16257918326863752
16,0.026451094288693865,0.28181951557771195,0.1103198355515347
17,0.2721378656682203,0.03705379574582908,0.20078159238760615
18,0.09705154784405774,0.21648427748565913,0.089359823068518
19,0.15817234043191147,0.19149335263642375,0.013681042388282424
20,0.012010965856038948,0.2150994831607029,0.12329966499892103
21,0.21480490416763587,0.07269088406322874,0.22597236724642658
22,0.19736738190777525,0.016945314001642,0.23936769015903583
23,0.08754503683643058,0.3814522820048476,0.05336235190629951
24,0.057994911504166205,0.32842237156762993,0.07887625655960226
25,0.17275267755732313,0.12283796527922544,0.13564496685688493
26,0.10060327182209085,0.2036642236661647,0.10283225648795791
27,0.029992572334080744,0.2473640716250744,0.032852983725882405
28,0.33470409825007613,0.13182875038622593,0.2614497074518592
29,0.2797205468424258,0.12555746133515833,0.015454418686828715
30,0.031145691275774823,0.19899709405637012,0.07272804115511482
31,0.07531949717765722,0.06324026993258312,0.2388543464597207
32,0.021064604032326763,0.04875620681086367,0.006893781232218668
33,0.07076808435788186,0.2621858088072862,0.2492300477191819
34,0.0426833393715343,0.02878214535498261,0.24176256017847414
35,0.3469824300854757,0.22706222597169837,0.04931438876659025
36,0.00588956942653071,0.1198124712621046,0.18380710838045677
37,0.19617491024768668,0.10757414953950206,0.23315974565725894
38,0.08355048554624336,0.12522069728714139,0.040283245719204344
39,0.039510388133951094,0.020484617743915506,0.22278886183901012
40,0.19484410042155192,0.08894532668496144,0.06393789129051052
41,0.14455632309097755,0.06654742534586099,0.06455161159505977
42,0.14346872024000973,0.17889134207256047,0.029166776293126705
43,0.03847398048136888,0.07085715952012323,0.22905122136666356
44,0.08503776617865333,0.21300564855678886,0.050653284932488704
45,0.3405312096074206,0.06432310354678619,0.06127205272043992
46,0.09281186693978663,0.08330531599653218,0.2552253352626097
47,0.021512409106968774,0.0476759708985299,0.3105468516874498
48,0.03926026397756238,0.0790570710342411,0.23783225279981324
49,0.2517600132294542,0.12362913877383142,0.041194474651278255
50,0.018101847526644028,0.05638262838537055,0.1407219736410846
51,0.017798552254021664,0.11226103361895765,0.19433936985507647
52,0.24591167661574986,0.03700422899822193,0.12478613030182957
53,0.25473592450482246,0.001350258873086164,0.12500249633237662
54,0.23572741730632832,0.0722675932440266,0.12537537026751575
55,0.12082368790755744,0.024323876071817508,0.03767672568908776
56,0.22213889302829276,0.012351995310117434,0.190507918290282
57,0.1146092689562078,0.049077972368144866,0.10336630464368575
58,0.058673109932504006,0.02113316095674698,0.11920184368166059
59,0.08496965871453024,0.1560264885473143,0.04153726858194005
60,0.22549876179279615,0.022924332413643552,0.20922060168363668
61,0.13463702168433708,0.07040883270166504,0.019521432376662783
62,0.0730559278568911,0.052067063002735336,0.13467250395786695
63,0.24387709256266416,0.019863112449641302,0.1761041532350518
64,0.043584499470762615,0.022789022029542055,0.12673120233809196
65,0.019457443615080203,0.2580945087832325,0.1323788683285819
66,0.11316342428944397,0.0987996243517755,0.05174019036549542
67,0.04640668361233038,0.2976522909538989,0.11312555229423289
68,0.045669638979358836,0.19381826814418793,0.023956031147794973
69,0.11528614881014324,0.05423984216506232,0.3704026134493241
70,0.29162210860970106,0.010103695541250169,0.18197812142097924
71,0.04827867310858628,0.14172167298629168,0.08198423566249975
72,0.11968285392412566,0.24206346020212335,0.01356269296614278
73,0.06075522134094333,0.10683872346220044,0.200451986332945
74,0.24275380756025677,0.035129544239422356,0.059320429577397936
75,0.028785511590003712,0.30809437545886653,0.0342819907871392
76,0.09973273226706202,0.17929693998763163,0.03194201261711123
77,0.06419055704871852,0.15698316556910605,0.022576652301558694
78,0.07620134947061342,0.31323963727825455,0.05321851650489549
79,0.2171005844367162,0.05707797346049377,0.16025343898558958
80,0.13048310110282801,0.10347185409359223,0.018258050812924417
81,0.17488656432232433,0.1331761121686052,0.024171547591109954
82,0.10289462145005071,0.19628186022836502,0.13490633078075212
83,0.09628854822508531,0.11465989172573827,0.03524283366647835
84,0.056519129020648554,0.017345623462983892,0.16754339419055583
85,0.058828249860125366,0.04577038973572342,0.10042647404499969
86,0.09455715678895228,0.009065549563027585,0.07010438150120693
87,0.045635279892143533,0.015318438573441869,0.12764771129895844
88,0.08395454690393328,0.14099865553213514,0.19723454619913158
89,0.14302361341500822,0.20985853169048505,0.02712504131785765
90,0.33044051625585596,0.08046873992804014,0.050552092549661636
91,0.07543015568141094,0.10630335202251187,0.12898721899666454
92,0.19552661426416384,0.10894588048677259,0.04502898349027247
93,0.03690414356017441,0.09872092613026638,0.05705838509401821
94,0.034097745933242905,0.2821897582197926,0.02526182674789322
95,0.13275402254124757,0.07723084759390553,0.14172411651283653
96,0.20817673098501036,0.19947144372374012,0.02079932942534355
97,0.3134598977738013,0.01516457330566025,0.023644724266588882
98,0.04234786996003491,0.07025428194529944,0.0389047531087034
99,0.08729367663363577,0.14821381001121325,0.1949978761462504
100,0.26527381047028475,0.14424084277480895,0.031115298055918606
101,0.2457390662615739,0.14157498145562683,0.013085501110816869
102,0.22934089174527444,0.11099504549943653,0.13026570693160489
103,0.07027183290645728,0.1480516756561201,0.056517262751109854
104,0.20219513716852278,0.022587535932773364,0.08641203009243649
105,0.02995917474970168,0.15423738158663436,0.16483101257798716
106,0.014493709932074201,0.07325685908744842,0.05677647326276609
107,0.08412316426430634,0.07733820567684656,0.029741058696482692
108,0.08894087079526768,0.05725144676871377,0.11921916364579623
109,0.10273404753456095,0.023779891471658345,0.2804360972597559
110,0.1872013723199989,0.05991637766708569,0.010515266024053036
111,0.17055700168238463,0.16877131763355674,0.09828810864228825
112,0.10760629769227911,0.23176738798753566,0.11750085563190464
113,0.1926920258573769,0.2782965846112794,0.14217636996108104
114,0.05932254950398239,0.2516128551048963,0.04095804916277616
115,0.06713147221731104,0.09366832336181168,0.13072206016993906
116,0.07980739110039937,0.03451289104344242,0.09113223775461439
117,0.11937694596646489,0.06706440790751575,0.2194530675032547
118,0.0544000845607898,0.142532768686968,0.2687992380261641
119,0.16915045007256574,0.3080333223768456,0.1405950660347335
120,0.2577724940305652,0.053093229004398654,0.013825752665009352
121,0.19884997276492924,0.23204479386919913,0.0576638581363282
122,0.29169835616021617,0.08785045490306125,0.15194718407831617
123,0.10193100835040171,0.09907887771152236,0.06826252336709192
124,0.1364812477071866,0.18799910732471442,0.0784598629712482
125,0.14416939603980544,0.06340916165227786,0.019178672571276634
126,0.015073224083560915,0.12381446821620042,0.051666391986372705
127,0.11108736529473134,0.09195473864401467,0.17045553260960675
128,0.18796822357454904,0.12010666846306657,0.0605246960616754
129,0.212116645533136,0.12254973519824787,0.029247175140918884
130,0.2445863920606728,0.020027793555602167,0.08262702731505364
131,0.03014501318125865,0.05945246227839708,0.3049951571517678
132,0.05382562666720097,0.20123172784036444,0.1704894074074966
133,0.04803293138880653,0.10507276078398174,0.08533861821812763
134,0.2582512710659907,0.029556767931775137,0.12314419400108526
135,0.07064573428138271,0.022699825560816293,0.12613198585551733
136,0.17357283108713653,0.006834722020422717,0.04901868748647167
137,0.3090533814480974,0.09771104159931354,0.09779789276211032
138,0.15809084584203742,0.05271579038158866,0.24896081515079282
139,0.038407602999710806,0.05243813328996528,0.026775897221454827
140,0.2819798967306486,0.13679112016020942,0.015580457780117565
141,0.10697583699388308,0.24025608188973685,0.036182667776236126
142,0.07177556856006179,0.10971462587681112,0.027449585351274113
143,0.1908396441914707,0.010958217485425003,0.02597727474263576
144,0.03517996821386594,0.17302096841132894,0.12666949167256025
145,0.01899934903264765,0.09134414916106116,0.11617586334840119
146,0.13370317768407625,0.1450087430165506,0.2057598023280606
147,0.10278299497600484,0.05069145519957147,0.10405560752655814
148,0.15427914814774168,0.21018397733102423,0.10295998763465831
149,0.18304326681339556,0.013985361957964149,0.13498773396097724
150,0.08057396034852973,0.01955462613904269,0.14991107485328178
151,0.05380548073257915,0.14950514314213037,0.32484806569209923
152,0.03447104716456795,0.4405123922976443,0.028236796867091494
153,0.09263038913399178,0.12554757555565507,0.09182018504882239
154,0.3336384107809738,0.15979561534313058,0.035333547409797224
155,0.11574923560698841,0.08172324547381632,0.21683996929101995
156,0.1044868322823553,0.3203176387806355,0.09832358273831397
157,0.2801073278669963,0.11502001510278358,0.06497026406282749
158,0.16340607322845216,0.063920593505904,0.10052357489193892
159,0.016680384898703344,0.21301225724731054,0.26126826391872865
160,0.05442716246526102,0.0035005326951033588,0.26766718863123595
161,0.033618969133406604,0.06142379390166948,0.08843439164475414
162,0.10748100768888574,0.030135287986209035,0.15508585535862748
163,0.06489844040260234,0.06957725530106196,0.17457354584940382
164,0.029425439996520183,0.09257034590266379,0.2849933178743384
165,0.09019166734125879,0.0031423238655917734,0.3036337069745126
166,0.12491504495273813,0.1340394358354223,0.1752021792505276
167,0.04051463880814337,0.1472298667081208,0.09395911596218895
168,0.11930067320420128,0.1023449456329752,0.06590727065349956
169,0.38482203490919276,0.006754003565376261,0.027493851002546473
170,0.1288771138764159,0.016053425355795035,0.29471804485271397
171,0.14767638796456534,0.01549192072782645,0.16675174931875578
172,0.12883254004566402,0.022601534189002636,0.19153553301171009
173,0.1339529171340327,0.2384001784270384,0.012249319697444104
174,0.17406810909234094,0.07380647762462557,0.13654058704908315
175,0.01001369603178341,0.017899934258201296,0.13189700131315985
176,0.1923140490764789,0.11559141929616384,0.06263597855907045
177,0.07172233387005124,0.23848436809288448,0.0732697326669693
178,0.04018983768418179,0.15903741342107452,0.05032332441212471
179,0.08924770458011048,0.10265625236967443,0.09129876200719339
180,0.017195300836544948,0.08684649604343982,0.18631889207991167
181,0.09923917307193517,0.1716104162043849,0.06029318092912997
182,0.07431846603341877,0.02357610808787528,0.24519517672876948
183,0.06610637675706274,0.07753805100260532,0.05219914822199167
184,0.056291415473877976,0.018532550956632393,0.1564592710170231
185,0.04544080530424937,0.21341972239087956,0.028586237754477755
186,0.10045897741066824,0.0250490266266974,0.137439204761078
187,0.12176698055133053,0.20918282521308548,0.06923943771204946
188,0.07665741390670955,0.029805351106596586,0.016323590557442775
189,0.11932514791287745,0.026466553574746757,0.2327892817454065
190,0.08821119353556921,0.00318781633994552,0.22212235790601054
191,0.040874594508601404,0.19376924463719658,0.051923477370303395
192,0.01597496635395618,0.3775700152374482,0.12970246022410678
193,0.19329284835569144,0.06572854997454139,0.18486014549625607
194,0.05491763046399524,0.17527292690225935,0.12231386714392994
195,0.06157945051327521,0.17352099761451353,0.1055001371555074
196,0.04519613457992065,0.10352031057131279,0.1483852514883787
197,0.15277827375525643,0.2763700803842683,0.023614339210383785
198,0.10274653045645277,0.2640646535736699,0.22607876362850957
199,0.07867706197050955,0.3305424924785203,0.0374200093784009
200,0.0860041430879133,0.03906298788743384,0.08166593271860773
